Workflow,Deadline,Cost
CyberShake_30.xml,1.0,1.088
CyberShake_30.xml,1.1,1.088
CyberShake_30.xml,1.0,1.088
CyberShake_30.xml,2.0,0.408
CyberShake_30.xml,1.3,1.088
CyberShake_30.xml,1.4,1.088
CyberShake_30.xml,1.5,1.088
CyberShake_30.xml,1.6,1.088
CyberShake_30.xml,1.7,1.088
CyberShake_30.xml,1.8,1.088
CyberShake_30.xml,1.9,1.088
CyberShake_30.xml,2.0,0.408
Epigenomics_46.xml,1.0,1.802
Epigenomics_46.xml,1.1,1.802
Epigenomics_46.xml,1.0,1.802
Epigenomics_46.xml,2.0,1.1807999999999998
Epigenomics_46.xml,1.3,1.802
Epigenomics_46.xml,1.4,1.802
Epigenomics_46.xml,1.5,1.802
Epigenomics_46.xml,1.6,1.802
Epigenomics_46.xml,1.7,1.802
Epigenomics_46.xml,1.8,1.802
Epigenomics_46.xml,1.9,1.802
Epigenomics_46.xml,2.0,1.1807999999999998
Inspiral_30.xml,1.0,2.7712000000000003
Inspiral_30.xml,1.1,1.1468
Inspiral_30.xml,1.0,1.1468
Inspiral_30.xml,2.0,1.6225999999999998
Inspiral_30.xml,1.3,1.1468
Inspiral_30.xml,1.4,1.1468
Inspiral_30.xml,1.5,1.1468
Inspiral_30.xml,1.6,1.1468
Inspiral_30.xml,1.7,1.1468
Inspiral_30.xml,1.8,3.1502
Inspiral_30.xml,1.9,2.4956
Inspiral_30.xml,2.0,0.5004
Inspiral_50.xml,1.0,1.2434
Inspiral_50.xml,1.1,1.2476
Inspiral_50.xml,1.0,1.2476
Inspiral_50.xml,2.0,0.597
Inspiral_50.xml,1.3,1.2434
Inspiral_50.xml,1.4,1.2434
Inspiral_50.xml,1.5,1.2434
Inspiral_50.xml,1.6,1.2434
Inspiral_50.xml,1.7,1.2476
Inspiral_50.xml,1.8,1.2434
Inspiral_50.xml,1.9,1.2434
Inspiral_50.xml,2.0,0.597
Inspiral_30.xml,1.0,1.1468
Inspiral_30.xml,1.1,1.1468
Inspiral_30.xml,1.0,8.8444
Inspiral_30.xml,2.0,0.5004
Inspiral_30.xml,1.3,1.1468
Inspiral_30.xml,1.4,4.3064
Inspiral_30.xml,1.5,1.1468
Inspiral_30.xml,1.6,1.1468
Inspiral_30.xml,1.7,1.1468
Inspiral_30.xml,1.8,1.1468
Inspiral_30.xml,1.9,1.1468
Inspiral_30.xml,2.0,0.5004
Montage_50.xml,1.0,1.088
Montage_50.xml,1.1,2.2564
Montage_50.xml,1.0,2.6222000000000003
Montage_50.xml,2.0,0.8243999999999999
Montage_50.xml,1.3,2.2564
Montage_50.xml,1.4,2.2522
Montage_50.xml,1.5,1.088
Montage_50.xml,1.6,2.2564
Montage_50.xml,1.7,2.2564
Montage_50.xml,1.8,2.2522
Montage_50.xml,1.9,2.2564
Montage_50.xml,2.0,0.8243999999999999
Sipht_30.xml,1.0,1.5338
Sipht_30.xml,1.1,1.1258000000000001
Sipht_30.xml,1.0,1.1258000000000001
Sipht_30.xml,2.0,0.8537999999999999
Sipht_30.xml,1.3,1.1258000000000001
Sipht_30.xml,1.4,1.1258000000000001
Sipht_30.xml,1.5,1.1258000000000001
Sipht_30.xml,1.6,2.2858
Sipht_30.xml,1.7,10.337599999999998
Sipht_30.xml,1.8,10.317
Sipht_30.xml,1.9,1.1258000000000001
Sipht_30.xml,2.0,1.2617999999999998
